deepjet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central, 1, 0, 2.5, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, central, 0, 0, 2.5, 20, 30, -15, 0, 1.0407955238811282
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0, 0.058538046124398654, 1.0407955238811282
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.058538046124398654, 0.19906920679716342, 15.15311083622559*(x-0.058538046124398654)*(x-0.058538046124398654)*(x-0.058538046124398654)-8.351338011702902*(x-0.058538046124398654)*(x-0.058538046124398654)+1.4494697665245069*(x-0.058538046124398654)+1.0407955238811282
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.19906920679716342, 0.2799162655663313, 245.48566817494032*(x-0.19906920679716342)*(x-0.19906920679716342)*(x-0.19906920679716342)-29.770191362891772*(x-0.19906920679716342)*(x-0.19906920679716342)+0.0*(x-0.19906920679716342)+1.1216157583626636
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.2799162655663313, 0.35947010259430545, -242.23245655564693*(x-0.2799162655663313)*(x-0.2799162655663313)*(x-0.2799162655663313)+28.905782057570647*(x-0.2799162655663313)*(x-0.2799162655663313)+0.0*(x-0.2799162655663313)+1.0567539845779317
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.35947010259430545, 0.45070451810065154, 203.57456992243326*(x-0.35947010259430545)*(x-0.35947010259430545)*(x-0.35947010259430545)-27.859510348243475*(x-0.35947010259430545)*(x-0.35947010259430545)+0.0*(x-0.35947010259430545)+1.117733747528859
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.45070451810065154, 0.5503817534735472, -280.30957346458916*(x-0.45070451810065154)*(x-0.45070451810065154)*(x-0.45070451810065154)+41.91072499725877*(x-0.45070451810065154)*(x-0.45070451810065154)+0.0*(x-0.45070451810065154)+1.040435506290739
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.5503817534735472, 0.651265587369962, 216.7014430788401*(x-0.5503817534735472)*(x-0.5503817534735472)*(x-0.5503817534735472)-38.27518791560557*(x-0.5503817534735472)*(x-0.5503817534735472)+0.0*(x-0.5503817534735472)+1.1792375583578367
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.651265587369962, 0.7515356571156963, 24.229460402562022*(x-0.651265587369962)*(x-0.651265587369962)*(x-0.651265587369962)+0.3157223569146183*(x-0.651265587369962)*(x-0.651265587369962)-1.1062274221920148*(x-0.651265587369962)+1.0121882171916996
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.7515356571156963, 0.8543312863815542, -12.589238358816752*(x-0.7515356571156963)*(x-0.7515356571156963)*(x-0.7515356571156963)+2.4671377857652423*(x-0.7515356571156963)*(x-0.7515356571156963)-0.3120971163718184*(x-0.7515356571156963)+0.9288673168006364
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.8543312863815542, 0.9689473208877255, 0.030974870051257028*(x-0.8543312863815542)*(x-0.8543312863815542)*(x-0.8543312863815542)-0.13215845991423678*(x-0.8543312863815542)*(x-0.8543312863815542)-0.2039643859050499*(x-0.8543312863815542)+0.9091803214881388
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.9689473208877255, 1.1, 0.8841132270783902
3, iterativefit, central, 0, 0, 2.5, 30, 50, -15, 0, 1.0310629251431802
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0, 0.06173076134594578, 1.0310629251431802
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.06173076134594578, 0.21923967697385394, 13.315310995272041*(x-0.06173076134594578)*(x-0.06173076134594578)*(x-0.06173076134594578)-6.291840588340985*(x-0.06173076134594578)*(x-0.06173076134594578)+0.9910209883732481*(x-0.06173076134594578)+1.0310629251431802
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.21923967697385394, 0.29986979478422293, 154.5807692371469*(x-0.21923967697385394)*(x-0.21923967697385394)*(x-0.21923967697385394)-22.586089809741765*(x-0.21923967697385394)*(x-0.21923967697385394)+0.0*(x-0.21923967697385394)+1.0830944722242362
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.29986979478422293, 0.3897441898810817, 47.61739307623099*(x-0.29986979478422293)*(x-0.29986979478422293)*(x-0.29986979478422293)-2.9292318229939514*(x-0.29986979478422293)*(x-0.29986979478422293)-0.6273493009484211*(x-0.29986979478422293)+1.017287707493887
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.3897441898810817, 0.49041947073306197, -108.46390433196878*(x-0.3897441898810817)*(x-0.3897441898810817)*(x-0.3897441898810817)+16.379451046384908*(x-0.3897441898810817)*(x-0.3897441898810817)+0.0*(x-0.3897441898810817)+0.9718124157620185
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.49041947073306197, 0.5900116011563388, 0.6488324484974601*(x-0.49041947073306197)*(x-0.49041947073306197)*(x-0.49041947073306197)-0.2964000734120236*(x-0.49041947073306197)*(x-0.49041947073306197)+0.0*(x-0.49041947073306197)+1.0271504575934551
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.5900116011563388, 0.6911079289088955, 9.218853781528145*(x-0.5900116011563388)*(x-0.5900116011563388)*(x-0.5900116011563388)-1.9671794520037813*(x-0.5900116011563388)*(x-0.5900116011563388)-0.03973171567758362*(x-0.5900116011563388)+1.024851511680879
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.6911079289088955, 0.7920905572041216, 17.545841923734635*(x-0.6911079289088955)*(x-0.6911079289088955)*(x-0.6911079289088955)-1.8911804250075903*(x-0.6911079289088955)*(x-0.6911079289088955)-0.15481796696264055*(x-0.6911079289088955)+1.0102546841285016
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.7920905572041216, 0.8836768992850402, -34.156584855702086*(x-0.7920905572041216)*(x-0.7920905572041216)*(x-0.7920905572041216)+4.692414997365385*(x-0.7920905572041216)*(x-0.7920905572041216)+0.0*(x-0.7920905572041216)+0.9934036353961757
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.8836768992850402, 0.979044898648211, 24.767635985204596*(x-0.8836768992850402)*(x-0.8836768992850402)*(x-0.8836768992850402)-8.747788113887058*(x-0.8836768992850402)*(x-0.8836768992850402)+0.0*(x-0.8836768992850402)+1.0065237185360538
3, iterativefit, central, 0, 0, 2.5, 30, 50, 0.979044898648211, 1.1, 0.9484449853177948
3, iterativefit, central, 0, 0, 2.5, 50, 70, -15, 0, 1.0597563245199433
3, iterativefit, central, 0, 0, 2.5, 50, 70, 0, 0.05564235628741788, 1.0597563245199433
3, iterativefit, central, 0, 0, 2.5, 50, 70, 0.05564235628741788, 0.19963034339416735, 0.20287222888910106*(x-0.05564235628741788)*(x-0.05564235628741788)*(x-0.05564235628741788)-0.19127490155436336*(x-0.05564235628741788)*(x-0.05564235628741788)-0.23494504992603282*(x-0.05564235628741788)+1.0597563245199433
3, iterativefit, central, 0, 0, 2.5, 50, 70, 0.19963034339416735, 0.28977638324156707, 38.76795689682042*(x-0.19963034339416735)*(x-0.19963034339416735)*(x-0.19963034339416735)-3.7034997773854577*(x-0.19963034339416735)*(x-0.19963034339416735)-0.27740945598039807*(x-0.19963034339416735)+1.022567066706608
3, iterativefit, central, 0, 0, 2.5, 50, 70, 0.28977638324156707, 0.3892616956561347, -146.62069751997663*(x-0.28977638324156707)*(x-0.28977638324156707)*(x-0.28977638324156707)+21.879908848825046*(x-0.28977638324156707)*(x-0.28977638324156707)+0.0*(x-0.28977638324156707)+0.9958635635509246
3, iterativefit, central, 0, 0, 2.5, 50, 70, 0.3892616956561347, 0.49021729038022305, 113.95270159039697*(x-0.3892616956561347)*(x-0.3892616956561347)*(x-0.3892616956561347)-17.25624413921264*(x-0.3892616956561347)*(x-0.3892616956561347)+0.0*(x-0.3892616956561347)+1.0680477705701126
3, iterativefit, central, 0, 0, 2.5, 50, 70, 0.49021729038022305, 0.5904809164635589, -204.60429505046082*(x-0.49021729038022305)*(x-0.49021729038022305)*(x-0.49021729038022305)+30.771552800975904*(x-0.49021729038022305)*(x-0.49021729038022305)+0.0*(x-0.49021729038022305)+1.00942237247096
3, iterativefit, central, 0, 0, 2.5, 50, 70, 0.5904809164635589, 0.6913509620266116, 223.59105950429094*(x-0.5904809164635589)*(x-0.5904809164635589)*(x-0.5904809164635589)-33.830460539533576*(x-0.5904809164635589)*(x-0.5904809164635589)+0.0*(x-0.5904809164635589)+1.1125357402648453
3, iterativefit, central, 0, 0, 2.5, 50, 70, 0.6913509620266116, 0.7922486541167979, -16.234229968901168*(x-0.6913509620266116)*(x-0.6913509620266116)*(x-0.6913509620266116)+2.4569945050851967*(x-0.6913509620266116)*(x-0.6913509620266116)+0.0*(x-0.6913509620266116)+0.9977967326745961
3, iterativefit, central, 0, 0, 2.5, 50, 70, 0.7922486541167979, 0.8836409314759245, 61.01481997618947*(x-0.7922486541167979)*(x-0.7922486541167979)*(x-0.7922486541167979)-9.789411675471097*(x-0.7922486541167979)*(x-0.7922486541167979)+0.0*(x-0.7922486541167979)+1.0061344159843022
3, iterativefit, central, 0, 0, 2.5, 50, 70, 0.8836409314759245, 0.9803001221169518, 3.4948535279289406*(x-0.8836409314759245)*(x-0.8836409314759245)*(x-0.8836409314759245)+0.3302579985131675*(x-0.8836409314759245)*(x-0.8836409314759245)-0.2604655503087476*(x-0.8836409314759245)+0.9709440578975276
3, iterativefit, central, 0, 0, 2.5, 50, 70, 0.9803001221169518, 1.1, 0.9520094246697667
3, iterativefit, central, 0, 0, 2.5, 70, 100, -15, 0, 1.1100854502306392
3, iterativefit, central, 0, 0, 2.5, 70, 100, 0, 0.05506384329468191, 1.1100854502306392
3, iterativefit, central, 0, 0, 2.5, 70, 100, 0.05506384329468191, 0.2085105667951991, 0.3914635657048949*(x-0.05506384329468191)*(x-0.05506384329468191)*(x-0.05506384329468191)-0.33882217099462547*(x-0.05506384329468191)*(x-0.05506384329468191)-0.21369039200012904*(x-0.05506384329468191)+1.1100854502306392
3, iterativefit, central, 0, 0, 2.5, 70, 100, 0.2085105667951991, 0.3091789828962042, 4.165053896404879*(x-0.2085105667951991)*(x-0.2085105667951991)*(x-0.2085105667951991)-0.7896043435377489*(x-0.2085105667951991)*(x-0.2085105667951991)-0.29002061364016746*(x-0.2085105667951991)+1.0707318616218855
